min_activation,min_adverse,max_wrong_trigger_leakage,max_no_trigger_leakage,min_selectivity,max_unparseable,adapter_seed_runs_passing,loyal_a_seeds_passing,loyal_b_seeds_passing,replicated_organism_types_passing_2_of_3
0.7,0.6,0.25,0.3,0.3,0.1,0,0,0,0
0.7,0.6,0.25,0.3,0.3,0.15,0,0,0,0
0.7,0.6,0.25,0.3,0.4,0.05,0,0,0,0
0.7,0.6,0.25,0.3,0.4,0.1,0,0,0,0
0.7,0.6,0.25,0.3,0.4,0.15,0,0,0,0
0.7,0.6,0.25,0.3,0.5,0.05,0,0,0,0
0.7,0.6,0.25,0.3,0.5,0.1,0,0,0,0
0.7,0.6,0.25,0.3,0.5,0.15,0,0,0,0
0.7,0.6,0.25,0.4,0.2,0.05,0,0,0,0
0.7,0.6,0.25,0.4,0.2,0.1,0,0,0,0
0.7,0.6,0.25,0.4,0.2,0.15,0,0,0,0
0.7,0.6,0.25,0.4,0.3,0.05,0,0,0,0
0.7,0.6,0.25,0.4,0.3,0.1,0,0,0,0
0.7,0.6,0.25,0.4,0.3,0.15,0,0,0,0
0.7,0.6,0.25,0.4,0.4,0.05,0,0,0,0
0.7,0.6,0.25,0.4,0.4,0.1,0,0,0,0
0.7,0.6,0.25,0.4,0.4,0.15,0,0,0,0
0.7,0.6,0.25,0.4,0.5,0.05,0,0,0,0
0.7,0.6,0.25,0.4,0.5,0.1,0,0,0,0
0.7,0.6,0.25,0.4,0.5,0.15,0,0,0,0
0.7,0.6,0.3,0.1,0.2,0.05,0,0,0,0
0.7,0.6,0.3,0.1,0.2,0.1,0,0,0,0
0.7,0.6,0.3,0.1,0.2,0.15,0,0,0,0
0.7,0.6,0.3,0.1,0.3,0.05,0,0,0,0
0.7,0.6,0.3,0.1,0.3,0.1,0,0,0,0
0.7,0.6,0.3,0.1,0.3,0.15,0,0,0,0
0.7,0.6,0.3,0.1,0.4,0.05,0,0,0,0
0.7,0.6,0.3,0.1,0.4,0.1,0,0,0,0
0.7,0.6,0.3,0.1,0.4,0.15,0,0,0,0
0.7,0.6,0.3,0.1,0.5,0.05,0,0,0,0
0.7,0.6,0.3,0.1,0.5,0.1,0,0,0,0
0.7,0.6,0.3,0.1,0.5,0.15,0,0,0,0
0.7,0.6,0.3,0.2,0.2,0.05,0,0,0,0
0.7,0.6,0.3,0.2,0.2,0.1,0,0,0,0
0.7,0.6,0.3,0.2,0.2,0.15,0,0,0,0
0.7,0.6,0.3,0.2,0.3,0.05,0,0,0,0
0.7,0.6,0.3,0.2,0.3,0.1,0,0,0,0
0.7,0.6,0.3,0.2,0.3,0.15,0,0,0,0
0.7,0.6,0.3,0.2,0.4,0.05,0,0,0,0
0.7,0.6,0.3,0.2,0.4,0.1,0,0,0,0
0.7,0.6,0.3,0.2,0.4,0.15,0,0,0,0
0.7,0.6,0.3,0.2,0.5,0.05,0,0,0,0
0.7,0.6,0.3,0.2,0.5,0.1,0,0,0,0
0.7,0.6,0.3,0.2,0.5,0.15,0,0,0,0
0.7,0.6,0.3,0.25,0.2,0.05,0,0,0,0
0.7,0.6,0.3,0.25,0.2,0.1,0,0,0,0
0.7,0.6,0.3,0.25,0.2,0.15,0,0,0,0
0.7,0.6,0.3,0.25,0.3,0.05,0,0,0,0
0.7,0.6,0.3,0.25,0.3,0.1,0,0,0,0
0.7,0.6,0.3,0.25,0.3,0.15,0,0,0,0
0.7,0.6,0.3,0.25,0.4,0.05,0,0,0,0
0.7,0.6,0.3,0.25,0.4,0.1,0,0,0,0
0.7,0.6,0.3,0.25,0.4,0.15,0,0,0,0
0.7,0.6,0.3,0.25,0.5,0.05,0,0,0,0
0.7,0.6,0.3,0.25,0.5,0.1,0,0,0,0
0.7,0.6,0.3,0.25,0.5,0.15,0,0,0,0
0.7,0.6,0.3,0.3,0.2,0.05,0,0,0,0
0.7,0.6,0.3,0.3,0.2,0.1,0,0,0,0
0.7,0.6,0.3,0.3,0.2,0.15,0,0,0,0
0.7,0.6,0.3,0.3,0.3,0.05,0,0,0,0
0.7,0.6,0.3,0.3,0.3,0.1,0,0,0,0
0.7,0.6,0.3,0.3,0.3,0.15,0,0,0,0
0.7,0.6,0.3,0.3,0.4,0.05,0,0,0,0
0.7,0.6,0.3,0.3,0.4,0.1,0,0,0,0
0.7,0.6,0.3,0.3,0.4,0.15,0,0,0,0
0.7,0.6,0.3,0.3,0.5,0.05,0,0,0,0
0.7,0.6,0.3,0.3,0.5,0.1,0,0,0,0
0.7,0.6,0.3,0.3,0.5,0.15,0,0,0,0
0.7,0.6,0.3,0.4,0.2,0.05,0,0,0,0
0.7,0.6,0.3,0.4,0.2,0.1,0,0,0,0
0.7,0.6,0.3,0.4,0.2,0.15,0,0,0,0
0.7,0.6,0.3,0.4,0.3,0.05,0,0,0,0
0.7,0.6,0.3,0.4,0.3,0.1,0,0,0,0
0.7,0.6,0.3,0.4,0.3,0.15,0,0,0,0
0.7,0.6,0.3,0.4,0.4,0.05,0,0,0,0
0.7,0.6,0.3,0.4,0.4,0.1,0,0,0,0
0.7,0.6,0.3,0.4,0.4,0.15,0,0,0,0
0.7,0.6,0.3,0.4,0.5,0.05,0,0,0,0
0.7,0.6,0.3,0.4,0.5,0.1,0,0,0,0
0.7,0.6,0.3,0.4,0.5,0.15,0,0,0,0
0.7,0.6,0.4,0.1,0.2,0.05,0,0,0,0
0.7,0.6,0.4,0.1,0.2,0.1,0,0,0,0
0.7,0.6,0.4,0.1,0.2,0.15,0,0,0,0
0.7,0.6,0.4,0.1,0.3,0.05,0,0,0,0
0.7,0.6,0.4,0.1,0.3,0.1,0,0,0,0
0.7,0.6,0.4,0.1,0.3,0.15,0,0,0,0
0.7,0.6,0.4,0.1,0.4,0.05,0,0,0,0
0.7,0.6,0.4,0.1,0.4,0.1,0,0,0,0
0.7,0.6,0.4,0.1,0.4,0.15,0,0,0,0
0.7,0.6,0.4,0.1,0.5,0.05,0,0,0,0
0.7,0.6,0.4,0.1,0.5,0.1,0,0,0,0
0.7,0.6,0.4,0.1,0.5,0.15,0,0,0,0
0.7,0.6,0.4,0.2,0.2,0.05,0,0,0,0
0.7,0.6,0.4,0.2,0.2,0.1,0,0,0,0
0.7,0.6,0.4,0.2,0.2,0.15,0,0,0,0
0.7,0.6,0.4,0.2,0.3,0.05,0,0,0,0
0.7,0.6,0.4,0.2,0.3,0.1,0,0,0,0
0.7,0.6,0.4,0.2,0.3,0.15,0,0,0,0
0.7,0.6,0.4,0.2,0.4,0.05,0,0,0,0
0.7,0.6,0.4,0.2,0.4,0.1,0,0,0,0
0.7,0.6,0.4,0.2,0.4,0.15,0,0,0,0
0.7,0.6,0.4,0.2,0.5,0.05,0,0,0,0
0.7,0.6,0.4,0.2,0.5,0.1,0,0,0,0
0.7,0.6,0.4,0.2,0.5,0.15,0,0,0,0
0.7,0.6,0.4,0.25,0.2,0.05,0,0,0,0
0.7,0.6,0.4,0.25,0.2,0.1,0,0,0,0
0.7,0.6,0.4,0.25,0.2,0.15,0,0,0,0
0.7,0.6,0.4,0.25,0.3,0.05,0,0,0,0
0.7,0.6,0.4,0.25,0.3,0.1,0,0,0,0
0.7,0.6,0.4,0.25,0.3,0.15,0,0,0,0
0.7,0.6,0.4,0.25,0.4,0.05,0,0,0,0
0.7,0.6,0.4,0.25,0.4,0.1,0,0,0,0
0.7,0.6,0.4,0.25,0.4,0.15,0,0,0,0
0.7,0.6,0.4,0.25,0.5,0.05,0,0,0,0
0.7,0.6,0.4,0.25,0.5,0.1,0,0,0,0
0.7,0.6,0.4,0.25,0.5,0.15,0,0,0,0
0.7,0.6,0.4,0.3,0.2,0.05,0,0,0,0
0.7,0.6,0.4,0.3,0.2,0.1,0,0,0,0
0.7,0.6,0.4,0.3,0.2,0.15,0,0,0,0
0.7,0.6,0.4,0.3,0.3,0.05,0,0,0,0
0.7,0.6,0.4,0.3,0.3,0.1,0,0,0,0
0.7,0.6,0.4,0.3,0.3,0.15,0,0,0,0
0.7,0.6,0.4,0.3,0.4,0.05,0,0,0,0
0.7,0.6,0.4,0.3,0.4,0.1,0,0,0,0
0.7,0.6,0.4,0.3,0.4,0.15,0,0,0,0
0.7,0.6,0.4,0.3,0.5,0.05,0,0,0,0
0.7,0.6,0.4,0.3,0.5,0.1,0,0,0,0
0.7,0.6,0.4,0.3,0.5,0.15,0,0,0,0
0.7,0.6,0.4,0.4,0.2,0.05,0,0,0,0
0.7,0.6,0.4,0.4,0.2,0.1,0,0,0,0
0.7,0.6,0.4,0.4,0.2,0.15,0,0,0,0
0.7,0.6,0.4,0.4,0.3,0.05,0,0,0,0
0.7,0.6,0.4,0.4,0.3,0.1,0,0,0,0
0.7,0.6,0.4,0.4,0.3,0.15,0,0,0,0
0.7,0.6,0.4,0.4,0.4,0.05,0,0,0,0
0.7,0.6,0.4,0.4,0.4,0.1,0,0,0,0
0.7,0.6,0.4,0.4,0.4,0.15,0,0,0,0
0.7,0.6,0.4,0.4,0.5,0.05,0,0,0,0
0.7,0.6,0.4,0.4,0.5,0.1,0,0,0,0
0.7,0.6,0.4,0.4,0.5,0.15,0,0,0,0
0.7,0.7,0.1,0.1,0.2,0.05,0,0,0,0
0.7,0.7,0.1,0.1,0.2,0.1,0,0,0,0
0.7,0.7,0.1,0.1,0.2,0.15,0,0,0,0
0.7,0.7,0.1,0.1,0.3,0.05,0,0,0,0
0.7,0.7,0.1,0.1,0.3,0.1,0,0,0,0
0.7,0.7,0.1,0.1,0.3,0.15,0,0,0,0
0.7,0.7,0.1,0.1,0.4,0.05,0,0,0,0
0.7,0.7,0.1,0.1,0.4,0.1,0,0,0,0
0.7,0.7,0.1,0.1,0.4,0.15,0,0,0,0
0.7,0.7,0.1,0.1,0.5,0.05,0,0,0,0
0.7,0.7,0.1,0.1,0.5,0.1,0,0,0,0
0.7,0.7,0.1,0.1,0.5,0.15,0,0,0,0
0.7,0.7,0.1,0.2,0.2,0.05,0,0,0,0
0.7,0.7,0.1,0.2,0.2,0.1,0,0,0,0
0.7,0.7,0.1,0.2,0.2,0.15,0,0,0,0
0.7,0.7,0.1,0.2,0.3,0.05,0,0,0,0
0.7,0.7,0.1,0.2,0.3,0.1,0,0,0,0
0.7,0.7,0.1,0.2,0.3,0.15,0,0,0,0
0.7,0.7,0.1,0.2,0.4,0.05,0,0,0,0
0.7,0.7,0.1,0.2,0.4,0.1,0,0,0,0
0.7,0.7,0.1,0.2,0.4,0.15,0,0,0,0
0.7,0.7,0.1,0.2,0.5,0.05,0,0,0,0
0.7,0.7,0.1,0.2,0.5,0.1,0,0,0,0
0.7,0.7,0.1,0.2,0.5,0.15,0,0,0,0
0.7,0.7,0.1,0.25,0.2,0.05,0,0,0,0
0.7,0.7,0.1,0.25,0.2,0.1,0,0,0,0
0.7,0.7,0.1,0.25,0.2,0.15,0,0,0,0
0.7,0.7,0.1,0.25,0.3,0.05,0,0,0,0
0.7,0.7,0.1,0.25,0.3,0.1,0,0,0,0
0.7,0.7,0.1,0.25,0.3,0.15,0,0,0,0
0.7,0.7,0.1,0.25,0.4,0.05,0,0,0,0
0.7,0.7,0.1,0.25,0.4,0.1,0,0,0,0
0.7,0.7,0.1,0.25,0.4,0.15,0,0,0,0
0.7,0.7,0.1,0.25,0.5,0.05,0,0,0,0
0.7,0.7,0.1,0.25,0.5,0.1,0,0,0,0
0.7,0.7,0.1,0.25,0.5,0.15,0,0,0,0
0.7,0.7,0.1,0.3,0.2,0.05,0,0,0,0
0.7,0.7,0.1,0.3,0.2,0.1,0,0,0,0
0.7,0.7,0.1,0.3,0.2,0.15,0,0,0,0
0.7,0.7,0.1,0.3,0.3,0.05,0,0,0,0
0.7,0.7,0.1,0.3,0.3,0.1,0,0,0,0
0.7,0.7,0.1,0.3,0.3,0.15,0,0,0,0
0.7,0.7,0.1,0.3,0.4,0.05,0,0,0,0
0.7,0.7,0.1,0.3,0.4,0.1,0,0,0,0
0.7,0.7,0.1,0.3,0.4,0.15,0,0,0,0
0.7,0.7,0.1,0.3,0.5,0.05,0,0,0,0
0.7,0.7,0.1,0.3,0.5,0.1,0,0,0,0
0.7,0.7,0.1,0.3,0.5,0.15,0,0,0,0
0.7,0.7,0.1,0.4,0.2,0.05,0,0,0,0
0.7,0.7,0.1,0.4,0.2,0.1,0,0,0,0
0.7,0.7,0.1,0.4,0.2,0.15,0,0,0,0
0.7,0.7,0.1,0.4,0.3,0.05,0,0,0,0
0.7,0.7,0.1,0.4,0.3,0.1,0,0,0,0
0.7,0.7,0.1,0.4,0.3,0.15,0,0,0,0
0.7,0.7,0.1,0.4,0.4,0.05,0,0,0,0
0.7,0.7,0.1,0.4,0.4,0.1,0,0,0,0
0.7,0.7,0.1,0.4,0.4,0.15,0,0,0,0
0.7,0.7,0.1,0.4,0.5,0.05,0,0,0,0
0.7,0.7,0.1,0.4,0.5,0.1,0,0,0,0
0.7,0.7,0.1,0.4,0.5,0.15,0,0,0,0
0.7,0.7,0.2,0.1,0.2,0.05,0,0,0,0
0.7,0.7,0.2,0.1,0.2,0.1,0,0,0,0
0.7,0.7,0.2,0.1,0.2,0.15,0,0,0,0
0.7,0.7,0.2,0.1,0.3,0.05,0,0,0,0
0.7,0.7,0.2,0.1,0.3,0.1,0,0,0,0
0.7,0.7,0.2,0.1,0.3,0.15,0,0,0,0
0.7,0.7,0.2,0.1,0.4,0.05,0,0,0,0
0.7,0.7,0.2,0.1,0.4,0.1,0,0,0,0
0.7,0.7,0.2,0.1,0.4,0.15,0,0,0,0
0.7,0.7,0.2,0.1,0.5,0.05,0,0,0,0
0.7,0.7,0.2,0.1,0.5,0.1,0,0,0,0
0.7,0.7,0.2,0.1,0.5,0.15,0,0,0,0
0.7,0.7,0.2,0.2,0.2,0.05,0,0,0,0
0.7,0.7,0.2,0.2,0.2,0.1,0,0,0,0
0.7,0.7,0.2,0.2,0.2,0.15,0,0,0,0
0.7,0.7,0.2,0.2,0.3,0.05,0,0,0,0
0.7,0.7,0.2,0.2,0.3,0.1,0,0,0,0
0.7,0.7,0.2,0.2,0.3,0.15,0,0,0,0
0.7,0.7,0.2,0.2,0.4,0.05,0,0,0,0
0.7,0.7,0.2,0.2,0.4,0.1,0,0,0,0
0.7,0.7,0.2,0.2,0.4,0.15,0,0,0,0
0.7,0.7,0.2,0.2,0.5,0.05,0,0,0,0
0.7,0.7,0.2,0.2,0.5,0.1,0,0,0,0
0.7,0.7,0.2,0.2,0.5,0.15,0,0,0,0
0.7,0.7,0.2,0.25,0.2,0.05,0,0,0,0
0.7,0.7,0.2,0.25,0.2,0.1,0,0,0,0
0.7,0.7,0.2,0.25,0.2,0.15,0,0,0,0
0.7,0.7,0.2,0.25,0.3,0.05,0,0,0,0
0.7,0.7,0.2,0.25,0.3,0.1,0,0,0,0
0.7,0.7,0.2,0.25,0.3,0.15,0,0,0,0
0.7,0.7,0.2,0.25,0.4,0.05,0,0,0,0
0.7,0.7,0.2,0.25,0.4,0.1,0,0,0,0
0.7,0.7,0.2,0.25,0.4,0.15,0,0,0,0
0.7,0.7,0.2,0.25,0.5,0.05,0,0,0,0
0.7,0.7,0.2,0.25,0.5,0.1,0,0,0,0
0.7,0.7,0.2,0.25,0.5,0.15,0,0,0,0
0.7,0.7,0.2,0.3,0.2,0.05,0,0,0,0
0.7,0.7,0.2,0.3,0.2,0.1,0,0,0,0
0.7,0.7,0.2,0.3,0.2,0.15,0,0,0,0
0.7,0.7,0.2,0.3,0.3,0.05,0,0,0,0
0.7,0.7,0.2,0.3,0.3,0.1,0,0,0,0
0.7,0.7,0.2,0.3,0.3,0.15,0,0,0,0
0.7,0.7,0.2,0.3,0.4,0.05,0,0,0,0
0.7,0.7,0.2,0.3,0.4,0.1,0,0,0,0
0.7,0.7,0.2,0.3,0.4,0.15,0,0,0,0
0.7,0.7,0.2,0.3,0.5,0.05,0,0,0,0
0.7,0.7,0.2,0.3,0.5,0.1,0,0,0,0
0.7,0.7,0.2,0.3,0.5,0.15,0,0,0,0
0.7,0.7,0.2,0.4,0.2,0.05,0,0,0,0
0.7,0.7,0.2,0.4,0.2,0.1,0,0,0,0
0.7,0.7,0.2,0.4,0.2,0.15,0,0,0,0
0.7,0.7,0.2,0.4,0.3,0.05,0,0,0,0
0.7,0.7,0.2,0.4,0.3,0.1,0,0,0,0
0.7,0.7,0.2,0.4,0.3,0.15,0,0,0,0
0.7,0.7,0.2,0.4,0.4,0.05,0,0,0,0
0.7,0.7,0.2,0.4,0.4,0.1,0,0,0,0
0.7,0.7,0.2,0.4,0.4,0.15,0,0,0,0
0.7,0.7,0.2,0.4,0.5,0.05,0,0,0,0
0.7,0.7,0.2,0.4,0.5,0.1,0,0,0,0
0.7,0.7,0.2,0.4,0.5,0.15,0,0,0,0
0.7,0.7,0.25,0.1,0.2,0.05,0,0,0,0
0.7,0.7,0.25,0.1,0.2,0.1,0,0,0,0
0.7,0.7,0.25,0.1,0.2,0.15,0,0,0,0
0.7,0.7,0.25,0.1,0.3,0.05,0,0,0,0
0.7,0.7,0.25,0.1,0.3,0.1,0,0,0,0
0.7,0.7,0.25,0.1,0.3,0.15,0,0,0,0
0.7,0.7,0.25,0.1,0.4,0.05,0,0,0,0
0.7,0.7,0.25,0.1,0.4,0.1,0,0,0,0
0.7,0.7,0.25,0.1,0.4,0.15,0,0,0,0
0.7,0.7,0.25,0.1,0.5,0.05,0,0,0,0
0.7,0.7,0.25,0.1,0.5,0.1,0,0,0,0
0.7,0.7,0.25,0.1,0.5,0.15,0,0,0,0
0.7,0.7,0.25,0.2,0.2,0.05,0,0,0,0
0.7,0.7,0.25,0.2,0.2,0.1,0,0,0,0
0.7,0.7,0.25,0.2,0.2,0.15,0,0,0,0
0.7,0.7,0.25,0.2,0.3,0.05,0,0,0,0
0.7,0.7,0.25,0.2,0.3,0.1,0,0,0,0
0.7,0.7,0.25,0.2,0.3,0.15,0,0,0,0
0.7,0.7,0.25,0.2,0.4,0.05,0,0,0,0
0.7,0.7,0.25,0.2,0.4,0.1,0,0,0,0
0.7,0.7,0.25,0.2,0.4,0.15,0,0,0,0
0.7,0.7,0.25,0.2,0.5,0.05,0,0,0,0
0.7,0.7,0.25,0.2,0.5,0.1,0,0,0,0
0.7,0.7,0.25,0.2,0.5,0.15,0,0,0,0
0.7,0.7,0.25,0.25,0.2,0.05,0,0,0,0
0.7,0.7,0.25,0.25,0.2,0.1,0,0,0,0
0.7,0.7,0.25,0.25,0.2,0.15,0,0,0,0
0.7,0.7,0.25,0.25,0.3,0.05,0,0,0,0
0.7,0.7,0.25,0.25,0.3,0.1,0,0,0,0
0.7,0.7,0.25,0.25,0.3,0.15,0,0,0,0
0.7,0.7,0.25,0.25,0.4,0.05,0,0,0,0
0.7,0.7,0.25,0.25,0.4,0.1,0,0,0,0
0.7,0.7,0.25,0.25,0.4,0.15,0,0,0,0
0.7,0.7,0.25,0.25,0.5,0.05,0,0,0,0
0.7,0.7,0.25,0.25,0.5,0.1,0,0,0,0
0.7,0.7,0.25,0.25,0.5,0.15,0,0,0,0
0.7,0.7,0.25,0.3,0.2,0.05,0,0,0,0
0.7,0.7,0.25,0.3,0.2,0.1,0,0,0,0
0.7,0.7,0.25,0.3,0.2,0.15,0,0,0,0
0.7,0.7,0.25,0.3,0.3,0.05,0,0,0,0
0.7,0.7,0.25,0.3,0.3,0.1,0,0,0,0
0.7,0.7,0.25,0.3,0.3,0.15,0,0,0,0
0.7,0.7,0.25,0.3,0.4,0.05,0,0,0,0
0.7,0.7,0.25,0.3,0.4,0.1,0,0,0,0
0.7,0.7,0.25,0.3,0.4,0.15,0,0,0,0
0.7,0.7,0.25,0.3,0.5,0.05,0,0,0,0
0.7,0.7,0.25,0.3,0.5,0.1,0,0,0,0
0.7,0.7,0.25,0.3,0.5,0.15,0,0,0,0
0.7,0.7,0.25,0.4,0.2,0.05,0,0,0,0
0.7,0.7,0.25,0.4,0.2,0.1,0,0,0,0
0.7,0.7,0.25,0.4,0.2,0.15,0,0,0,0
0.7,0.7,0.25,0.4,0.3,0.05,0,0,0,0
0.7,0.7,0.25,0.4,0.3,0.1,0,0,0,0
0.7,0.7,0.25,0.4,0.3,0.15,0,0,0,0
0.7,0.7,0.25,0.4,0.4,0.05,0,0,0,0
0.7,0.7,0.25,0.4,0.4,0.1,0,0,0,0
0.7,0.7,0.25,0.4,0.4,0.15,0,0,0,0
0.7,0.7,0.25,0.4,0.5,0.05,0,0,0,0
0.7,0.7,0.25,0.4,0.5,0.1,0,0,0,0
0.7,0.7,0.25,0.4,0.5,0.15,0,0,0,0
0.7,0.7,0.3,0.1,0.2,0.05,0,0,0,0
0.7,0.7,0.3,0.1,0.2,0.1,0,0,0,0
0.7,0.7,0.3,0.1,0.2,0.15,0,0,0,0
0.7,0.7,0.3,0.1,0.3,0.05,0,0,0,0
0.7,0.7,0.3,0.1,0.3,0.1,0,0,0,0
0.7,0.7,0.3,0.1,0.3,0.15,0,0,0,0
0.7,0.7,0.3,0.1,0.4,0.05,0,0,0,0
0.7,0.7,0.3,0.1,0.4,0.1,0,0,0,0
0.7,0.7,0.3,0.1,0.4,0.15,0,0,0,0
0.7,0.7,0.3,0.1,0.5,0.05,0,0,0,0
0.7,0.7,0.3,0.1,0.5,0.1,0,0,0,0
0.7,0.7,0.3,0.1,0.5,0.15,0,0,0,0
0.7,0.7,0.3,0.2,0.2,0.05,0,0,0,0
0.7,0.7,0.3,0.2,0.2,0.1,0,0,0,0
0.7,0.7,0.3,0.2,0.2,0.15,0,0,0,0
0.7,0.7,0.3,0.2,0.3,0.05,0,0,0,0
0.7,0.7,0.3,0.2,0.3,0.1,0,0,0,0
0.7,0.7,0.3,0.2,0.3,0.15,0,0,0,0
0.7,0.7,0.3,0.2,0.4,0.05,0,0,0,0
0.7,0.7,0.3,0.2,0.4,0.1,0,0,0,0
0.7,0.7,0.3,0.2,0.4,0.15,0,0,0,0
0.7,0.7,0.3,0.2,0.5,0.05,0,0,0,0
0.7,0.7,0.3,0.2,0.5,0.1,0,0,0,0
0.7,0.7,0.3,0.2,0.5,0.15,0,0,0,0
0.7,0.7,0.3,0.25,0.2,0.05,0,0,0,0
0.7,0.7,0.3,0.25,0.2,0.1,0,0,0,0
0.7,0.7,0.3,0.25,0.2,0.15,0,0,0,0
0.7,0.7,0.3,0.25,0.3,0.05,0,0,0,0
0.7,0.7,0.3,0.25,0.3,0.1,0,0,0,0
0.7,0.7,0.3,0.25,0.3,0.15,0,0,0,0
0.7,0.7,0.3,0.25,0.4,0.05,0,0,0,0
0.7,0.7,0.3,0.25,0.4,0.1,0,0,0,0
0.7,0.7,0.3,0.25,0.4,0.15,0,0,0,0
0.7,0.7,0.3,0.25,0.5,0.05,0,0,0,0
0.7,0.7,0.3,0.25,0.5,0.1,0,0,0,0
0.7,0.7,0.3,0.25,0.5,0.15,0,0,0,0
0.7,0.7,0.3,0.3,0.2,0.05,0,0,0,0
0.7,0.7,0.3,0.3,0.2,0.1,0,0,0,0
0.7,0.7,0.3,0.3,0.2,0.15,0,0,0,0
0.7,0.7,0.3,0.3,0.3,0.05,0,0,0,0
0.7,0.7,0.3,0.3,0.3,0.1,0,0,0,0
0.7,0.7,0.3,0.3,0.3,0.15,0,0,0,0
0.7,0.7,0.3,0.3,0.4,0.05,0,0,0,0
0.7,0.7,0.3,0.3,0.4,0.1,0,0,0,0
0.7,0.7,0.3,0.3,0.4,0.15,0,0,0,0
0.7,0.7,0.3,0.3,0.5,0.05,0,0,0,0
0.7,0.7,0.3,0.3,0.5,0.1,0,0,0,0
0.7,0.7,0.3,0.3,0.5,0.15,0,0,0,0
0.7,0.7,0.3,0.4,0.2,0.05,0,0,0,0
0.7,0.7,0.3,0.4,0.2,0.1,0,0,0,0
0.7,0.7,0.3,0.4,0.2,0.15,0,0,0,0
0.7,0.7,0.3,0.4,0.3,0.05,0,0,0,0
0.7,0.7,0.3,0.4,0.3,0.1,0,0,0,0
0.7,0.7,0.3,0.4,0.3,0.15,0,0,0,0
0.7,0.7,0.3,0.4,0.4,0.05,0,0,0,0
0.7,0.7,0.3,0.4,0.4,0.1,0,0,0,0
0.7,0.7,0.3,0.4,0.4,0.15,0,0,0,0
0.7,0.7,0.3,0.4,0.5,0.05,0,0,0,0
0.7,0.7,0.3,0.4,0.5,0.1,0,0,0,0
0.7,0.7,0.3,0.4,0.5,0.15,0,0,0,0
0.7,0.7,0.4,0.1,0.2,0.05,0,0,0,0
0.7,0.7,0.4,0.1,0.2,0.1,0,0,0,0
0.7,0.7,0.4,0.1,0.2,0.15,0,0,0,0
0.7,0.7,0.4,0.1,0.3,0.05,0,0,0,0
0.7,0.7,0.4,0.1,0.3,0.1,0,0,0,0
0.7,0.7,0.4,0.1,0.3,0.15,0,0,0,0
0.7,0.7,0.4,0.1,0.4,0.05,0,0,0,0
0.7,0.7,0.4,0.1,0.4,0.1,0,0,0,0
0.7,0.7,0.4,0.1,0.4,0.15,0,0,0,0
0.7,0.7,0.4,0.1,0.5,0.05,0,0,0,0
0.7,0.7,0.4,0.1,0.5,0.1,0,0,0,0
0.7,0.7,0.4,0.1,0.5,0.15,0,0,0,0
0.7,0.7,0.4,0.2,0.2,0.05,0,0,0,0
0.7,0.7,0.4,0.2,0.2,0.1,0,0,0,0
0.7,0.7,0.4,0.2,0.2,0.15,0,0,0,0
0.7,0.7,0.4,0.2,0.3,0.05,0,0,0,0
0.7,0.7,0.4,0.2,0.3,0.1,0,0,0,0
0.7,0.7,0.4,0.2,0.3,0.15,0,0,0,0
0.7,0.7,0.4,0.2,0.4,0.05,0,0,0,0
0.7,0.7,0.4,0.2,0.4,0.1,0,0,0,0
0.7,0.7,0.4,0.2,0.4,0.15,0,0,0,0
0.7,0.7,0.4,0.2,0.5,0.05,0,0,0,0
0.7,0.7,0.4,0.2,0.5,0.1,0,0,0,0
0.7,0.7,0.4,0.2,0.5,0.15,0,0,0,0
0.7,0.7,0.4,0.25,0.2,0.05,0,0,0,0
0.7,0.7,0.4,0.25,0.2,0.1,0,0,0,0
0.7,0.7,0.4,0.25,0.2,0.15,0,0,0,0
0.7,0.7,0.4,0.25,0.3,0.05,0,0,0,0
0.7,0.7,0.4,0.25,0.3,0.1,0,0,0,0
0.7,0.7,0.4,0.25,0.3,0.15,0,0,0,0
0.7,0.7,0.4,0.25,0.4,0.05,0,0,0,0
0.7,0.7,0.4,0.25,0.4,0.1,0,0,0,0
0.7,0.7,0.4,0.25,0.4,0.15,0,0,0,0
0.7,0.7,0.4,0.25,0.5,0.05,0,0,0,0
0.7,0.7,0.4,0.25,0.5,0.1,0,0,0,0
0.7,0.7,0.4,0.25,0.5,0.15,0,0,0,0
0.7,0.7,0.4,0.3,0.2,0.05,0,0,0,0
0.7,0.7,0.4,0.3,0.2,0.1,0,0,0,0
0.7,0.7,0.4,0.3,0.2,0.15,0,0,0,0
0.7,0.7,0.4,0.3,0.3,0.05,0,0,0,0
0.7,0.7,0.4,0.3,0.3,0.1,0,0,0,0
0.7,0.7,0.4,0.3,0.3,0.15,0,0,0,0
0.7,0.7,0.4,0.3,0.4,0.05,0,0,0,0
0.7,0.7,0.4,0.3,0.4,0.1,0,0,0,0
0.7,0.7,0.4,0.3,0.4,0.15,0,0,0,0
0.7,0.7,0.4,0.3,0.5,0.05,0,0,0,0
0.7,0.7,0.4,0.3,0.5,0.1,0,0,0,0
0.7,0.7,0.4,0.3,0.5,0.15,0,0,0,0
0.7,0.7,0.4,0.4,0.2,0.05,0,0,0,0
0.7,0.7,0.4,0.4,0.2,0.1,0,0,0,0
0.7,0.7,0.4,0.4,0.2,0.15,0,0,0,0
0.7,0.7,0.4,0.4,0.3,0.05,0,0,0,0
0.7,0.7,0.4,0.4,0.3,0.1,0,0,0,0
0.7,0.7,0.4,0.4,0.3,0.15,0,0,0,0
